,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
2010-04-26 13:01:57.579456,0.0011903,3.711755828918346,1.6061043375627417,-3.7110164694706342,0.06340274116617844,5.081756552762942
2010-04-27 22:06:32.422176,0.0012071,3.615793308938669,1.606109573550498,-3.614874502996581,0.06340275554352721,5.0875740373528275
2010-04-28 12:59:36.035519,0.0012238,3.566723786854119,1.606097356245734,-3.565672330636677,0.06340278025653284,5.090190843652029
2010-04-29 00:34:12.213407,0.0012325,3.5373823233366024,1.6060938655872299,-3.5362250517873552,0.06340279479689657,5.092225690575559
2010-04-30 09:38:46.889375,0.0012525,3.4472830982072886,1.606097356245734,-3.4460397213845266,0.06340280857840375,5.09803702533342
2010-05-01 12:06:26.644320,0.0012649,3.3792137305154872,1.6060903749287259,-3.3777915166163046,0.0634028300983509,5.10268564925682
2010-05-02 12:54:52.673760,0.0012805,3.316263653822842,1.6060886295994738,-3.314625394656612,0.06340285410734799,5.107046196081802
2010-05-03 13:43:18.741216,0.0012932,3.2493375239762963,1.60610259223349,-3.2475177345968036,0.06340285730772106,5.111414735982262
2010-05-04 21:08:39.697727,0.0013106,3.1712024385898676,1.6061113188797498,-3.169238466216215,0.06340285802033171,5.11694200453877
2010-05-05 00:27:07.147007,0.0013379,3.15219628443453,1.6061374988185297,-3.150113979615808,0.06340287304553183,5.117536421047542
2010-05-06 12:50:02.311008,0.001339,3.0634094692880587,1.606132262830774,-3.068536947655875,0.06340287379102767,5.123933245308512
2010-05-08 02:52:25.312224,0.0012990032843466883,3.0297091565683414,1.6061357534892777,-3.011558236529875,0.06340663201309481,5.130621174213835
2010-05-09 00:21:48.377664,0.0012877,2.9110400581785125,1.606132262830774,-2.9083431281149776,0.06341099792179347,5.13440493912156
2010-05-10 11:05:21.007680,0.0014503,2.694867635324038,1.6062718891709333,-2.6946851705307617,0.06341010292527277,5.140527563547906
2010-05-11 13:32:48.308064,0.001312,2.763206518801472,1.606106082891994,-2.7602644823003435,0.06341098124445013,5.145178543677186
2010-05-12 20:57:54.779615,0.0013308,2.683842574598285,1.6061130642090018,-2.680585841356123,0.0634110184619943,5.150710111610038
2010-05-13 11:50:51.500832,0.0013474,2.6468346926979227,1.606106082891994,-2.6434733319714545,0.06341102394499405,5.153329233020789
2010-05-14 20:55:10.915967,0.0013538,2.5644535601737486,1.6061043375627417,-2.560888923955188,0.06341102885580858,5.159153636812074
2010-05-15 01:52:49.808064,0.001385,2.55926151775486,1.606097356245734,-2.555625194564104,0.06341103517163671,5.160023338318494
2010-05-16 12:36:22.207391,0.0013895,2.4762119703032974,1.606106082891994,-2.4723900647928945,0.0634110316870173,5.166137988745614
2010-05-17 13:24:36.749088,0.0014041,2.4204930669795193,1.6061148095382538,-2.416541999484635,0.06341102938403204,5.170501624135203
2010-05-18 12:33:38.318688,0.0014127,2.368225399647934,1.6061252815137657,-2.364165083220863,0.06341102702092656,5.17457884794331
2010-05-20 04:14:49.576416,0.0014163,2.2687608689447436,1.6061270268430177,-2.264486363867727,0.06341103474104899,5.181559872626697
2010-05-22 05:52:08.667263,0.0015199,1.9913689098271665,1.6061549521110496,-1.973853680591887,0.06340393334286688,5.190307601687727
2010-05-23 18:15:29.776319,0.0013448,2.065857216047548,1.6061601880988057,-2.0631829568389355,0.06339634877674469,5.196706046524147
2010-05-24 00:52:26.932511,0.0013395,2.1833454914403263,1.6060903749287259,-2.1790442308512024,0.06339707550578903,5.197810076950399
2010-05-25 19:52:41.152512,0.0013554,1.9463813697974368,1.6061270268430177,-1.9407502847222542,0.06339670229581916,5.205429164655141
2010-05-26 02:29:38.483232,0.0013574,1.9735296199716288,1.6061549521110496,-1.9689218538641544,0.06339644815456551,5.206603407545979
2010-05-27 04:57:27.807839,0.0013633,1.9064174323936263,1.6061549521110496,-1.9017966761596732,0.06339643959040814,5.2112599893074165
2010-05-30 02:25:29.736768,0.0013654,1.748346228298089,1.6061462254647898,-1.7435665538141478,0.06339644683440263,5.223482227972852
2010-05-31 23:04:00.506208,0.0013112,1.663773188523254,1.6061427348062858,-1.6590621915148338,0.06340602370536091,5.2313360355974545
2010-06-01 18:54:41.448672,0.0013056,1.6161650851224585,1.6061968400130977,-1.6115174095137625,0.06340605320543764,5.23483547510436
2010-06-02 09:47:42.297215,0.0013006,1.5904858751489164,1.6061706600743175,-1.5857833859901822,0.06340606156371482,5.237469081829691
2010-06-03 12:15:17.112671,0.0013002,1.5290295708138733,1.6061724054035695,-1.5243253207010188,0.06340606819062694,5.242132862326952
2010-06-04 22:58:59.079935,0.001297,1.4546400510074498,1.6061724054035695,-1.449968682705336,0.06340606185364239,5.248250833543145
2010-06-05 05:35:52.786175,0.0013002,1.4501719851139145,1.6061689147450657,-1.4454841787286927,0.06340606009324674,5.249413536631034
2010-06-06 11:21:54.457343,0.0012987,1.3781671820427714,1.6061741507328218,-1.3735339061611587,0.06340605725004896,5.254658885864533
2010-06-07 12:10:15.815136,0.0012976,1.328022245115268,1.6061601880988057,-1.323435431241732,0.06340605785367291,5.25902462330629
2010-06-08 19:35:30.905951,0.0012982,1.2706938410351074,1.6061566974403017,-1.2661036339356926,0.06340606107462207,5.264560684548376
2010-06-09 12:07:45.158591,0.0013016,1.2411642247225423,1.6061514614525458,-1.2365846635465871,0.06340606037842189,5.267478192229465
2010-06-10 19:33:00.216576,0.0012974,1.1706913651008306,1.6061427348062858,-1.1662183877826848,0.0634060555602645,5.273011128180405
2010-06-11 00:30:40.472928,0.0012917,1.1797966991281064,1.6061479707940416,-1.1753037730088094,0.0634060571301039,5.273893265698484
